Date,Warehouse,sku,Status,msku,Panel,Quantity
,Karnataka,CSTE_0546_ST_Animal_Lucifer_Cat_Black,,CSTE_0546_ST_Animal_Lucifer_Cat_Black,CSTE FLIPKART,1
,Delhi,Dumbledore_wand_musicbox,Combo,CSTE_0292_OT_Dumbledore_wand,CSTE FLIPKART,3
,Uttar Pradesh,Dumbledore_wand_musicbox,Combo,CSTE_0292_OT_Dumbledore_wand,CSTE FLIPKART,3
,Maharashtra,Dumbledore_wand_musicbox,Combo,CSTE_0292_OT_Dumbledore_wand,CSTE FLIPKART,3
,Karnataka,Dumbledore_sunglass_wand,Combo,CSTE_0292_OT_Dumbledore_wand,CSTE FLIPKART,3
,Madhya Pradesh,CSTE_0355_Wands_HP_light_Sg,Combo,CSTE_0330_Wands_Harrypotter_Light,CSTE FLIPKART,3
,Maharashtra,CSTE_0502_ST_Minecraft_Pickaxe_Foam,Combo,CSTE_0502_ST_Minecraft_Pickaxe_Foam,CSTE FLIPKART,2
,Maharashtra,CSTE_O0445_OT_Glue_Sand_Rubber_Monkey,,CSTE_O0445_OT_Glue_Sand_Rubber_Monkey,RUDRAV MEESHO,1
,Madhya Pradesh,Minecraft_Small_Sword_Steve,Combo,CSTE_0470_ST_Minecraft_Sword_Small,RUDRAV MEESHO,3
,Delhi,Dumbledore_wand_musicbox,Combo,CSTE_0020_MB_HP_Black,CSTE FLIPKART,3
,Uttar Pradesh,Dumbledore_wand_musicbox,Combo,CSTE_0020_MB_HP_Black,CSTE FLIPKART,3
,Maharashtra,Dumbledore_wand_musicbox,Combo,CSTE_0020_MB_HP_Black,CSTE FLIPKART,3
,Karnataka,Dumbledore_sunglass_wand,Combo,CSTE_0319_SG_HarryPotter_Round,CSTE FLIPKART,3
,Madhya Pradesh,CSTE_0355_Wands_HP_light_Sg,Combo,CSTE_0319_SG_HarryPotter_Round,CSTE FLIPKART,3
,Maharashtra,CSTE_0502_ST_Minecraft_Pickaxe_Foam,Combo,CSTE_0471_ST_Minecraft_Sword_Big,CSTE FLIPKART,2
,Madhya Pradesh,Minecraft_Small_Sword_Steve,Combo,CSTE_0418_ST_MineCraft_Steve,RUDRAV MEESHO,3
