Date,Warehouse,sku,Status,msku,Panel,Quantity
2025-01-30,TLCQ,harrypotter_wand_light,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-29,TLCQ,CSTE_0330_Wands_Harrypotter_Light,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-29,TLCQ,Harrypotter_light_wand,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-29,TLCQ,Light_wand_harrypotter,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-29,TLCQ,lightwand_harrypotter,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-29,TLCQ,harrypotter_wand_light,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-28,TLCQ,CSTE_0330_Wands_Harrypotter_Light,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-28,TLCQ,Harrypotter_light_wand,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-28,TLCQ,Light_wand_harrypotter,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-28,TLCQ,lightwand_harrypotter,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-28,TLCQ,harrypotter_wand_light,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-27,TLCQ,CSTE_0330_Wands_Harrypotter_Light,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-27,TLCQ,Harrypotter_light_wand,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-27,TLCQ,Light_wand_harrypotter,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-27,TLCQ,lightwand_harrypotter,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-01-27,TLCQ,harrypotter_wand_light,Active,CSTE_0330_Wands_Harrypotter_Light,Amazon,1
2025-02-01,TLCQ,dumbledore_wand_light,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
2025-02-01,TLCQ,CSTE_0333_Wands_Dumbledore_Light,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
2025-02-01,TLCQ,light_wand_dumbledore,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
2025-02-01,TLCQ,lightwand_dumbledore,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
2025-02-01,TLCQ,dumbledore_light_wand,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
2025-01-30,TLCQ,dumbledore_wand_light,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
2025-01-30,TLCQ,CSTE_0333_Wands_Dumbledore_Light,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
2025-01-30,TLCQ,light_wand_dumbledore,Active,CSTE_0333_Wands_Dumbledore_Light,Amazon,1
